Date;HomeTeam;AwayTeam;FullTimeHomeTeamGoals;FullTimeAwayTeamGoals;FullTimeResult;HalfTimeHomeTeamGoals;HalfTimeAwayTeamGoals;HalfTimeResult;HomeTeamShots;AwayTeamShots;HomeTeamShots;AwayTeamShots;HomeTeamFoulsCommitted;AwayTeamFoulsCommitted;HomeTeamCorners;AwayTeamCorners;HomeTeamYellowCards;AwayTeamYellowCards;HomeTeamRedCards;AwayTeamRedCards;;;;;;
07.08.1993;Bayern Munich;Freiburg;3;1;H;;;;;;;;;;;;;;;;;;;;;
07.08.1993;Dortmund;Karlsruhe;2;1;H;;;;;;;;;;;;;;;;;;;;;
07.08.1993;Duisburg;Leverkusen;2;2;D;;;;;;;;;;;;;;;;;;;;;
07.08.1993;FC Koln;Kaiserslautern;0;2;A;;;;;;;;;;;;;;;;;;;;;
07.08.1993;Hamburg;Nurnberg;5;2;H;;;;;;;;;;;;;;;;;;;;;
07.08.1993;Leipzig;Dresden;3;3;D;;;;;;;;;;;;;;;;;;;;;
07.08.1993;M'Gladbach;Ein Frankfurt;0;4;A;;;;;;;;;;;;;;;;;;;;;
07.08.1993;Wattenscheid;Schalke 04;3;0;H;;;;;;;;;;;;;;;;;;;;;
07.08.1993;Werder Bremen;Stuttgart;5;1;H;;;;;;;;;;;;;;;;;;;;;
14.08.1993;Dresden;Duisburg;0;1;A;;;;;;;;;;;;;;;;;;;;;
14.08.1993;Ein Frankfurt;Werder Bremen;2;2;D;;;;;;;;;;;;;;;;;;;;;
14.08.1993;Freiburg;Wattenscheid;4;1;H;;;;;;;;;;;;;;;;;;;;;
14.08.1993;Kaiserslautern;M'Gladbach;4;2;H;;;;;;;;;;;;;;;;;;;;;
14.08.1993;Karlsruhe;Hamburg;2;0;H;;;;;;;;;;;;;;;;;;;;;
14.08.1993;Leverkusen;Bayern Munich;2;1;H;;;;;;;;;;;;;;;;;;;;;
14.08.1993;Nurnberg;FC Koln;1;0;H;;;;;;;;;;;;;;;;;;;;;
14.08.1993;Schalke 04;Dortmund;1;0;H;;;;;;;;;;;;;;;;;;;;;
14.08.1993;Stuttgart;Leipzig;0;0;D;;;;;;;;;;;;;;;;;;;;;
21.08.1993;Bayern Munich;Dresden;5;0;H;;;;;;;;;;;;;;;;;;;;;
21.08.1993;Dortmund;Freiburg;3;2;H;;;;;;;;;;;;;;;;;;;;;
21.08.1993;Duisburg;Stuttgart;2;2;D;;;;;;;;;;;;;;;;;;;;;
21.08.1993;Ein Frankfurt;Kaiserslautern;1;0;H;;;;;;;;;;;;;;;;;;;;;
21.08.1993;FC Koln;Karlsruhe;2;1;H;;;;;;;;;;;;;;;;;;;;;
21.08.1993;Hamburg;Schalke 04;4;1;H;;;;;;;;;;;;;;;;;;;;;
21.08.1993;M'Gladbach;Nurnberg;2;0;H;;;;;;;;;;;;;;;;;;;;;
21.08.1993;Wattenscheid;Leverkusen;1;2;A;;;;;;;;;;;;;;;;;;;;;
21.08.1993;Werder Bremen;Leipzig;3;1;H;;;;;;;;;;;;;;;;;;;;;
28.08.1993;Dresden;Wattenscheid;1;1;D;;;;;;;;;;;;;;;;;;;;;
28.08.1993;Freiburg;Hamburg;0;1;A;;;;;;;;;;;;;;;;;;;;;
28.08.1993;Kaiserslautern;Werder Bremen;2;3;A;;;;;;;;;;;;;;;;;;;;;
28.08.1993;Karlsruhe;M'Gladbach;1;0;H;;;;;;;;;;;;;;;;;;;;;
28.08.1993;Leipzig;Duisburg;1;1;D;;;;;;;;;;;;;;;;;;;;;
28.08.1993;Leverkusen;Dortmund;2;1;H;;;;;;;;;;;;;;;;;;;;;
28.08.1993;Nurnberg;Ein Frankfurt;1;5;A;;;;;;;;;;;;;;;;;;;;;
28.08.1993;Schalke 04;FC Koln;1;2;A;;;;;;;;;;;;;;;;;;;;;
28.08.1993;Stuttgart;Bayern Munich;2;2;D;;;;;;;;;;;;;;;;;;;;;
01.09.1993;Bayern Munich;Leipzig;3;0;H;;;;;;;;;;;;;;;;;;;;;
01.09.1993;Dortmund;Dresden;4;0;H;;;;;;;;;;;;;;;;;;;;;
01.09.1993;Ein Frankfurt;Karlsruhe;3;1;H;;;;;;;;;;;;;;;;;;;;;
01.09.1993;FC Koln;Freiburg;2;0;H;;;;;;;;;;;;;;;;;;;;;
01.09.1993;Hamburg;Leverkusen;2;1;H;;;;;;;;;;;;;;;;;;;;;
01.09.1993;Kaiserslautern;Nurnberg;3;1;H;;;;;;;;;;;;;;;;;;;;;
01.09.1993;M'Gladbach;Schalke 04;3;2;H;;;;;;;;;;;;;;;;;;;;;
01.09.1993;Wattenscheid;Stuttgart;2;4;A;;;;;;;;;;;;;;;;;;;;;
01.09.1993;Werder Bremen;Duisburg;1;5;A;;;;;;;;;;;;;;;;;;;;;
04.09.1993;Dresden;Hamburg;1;1;D;;;;;;;;;;;;;;;;;;;;;
04.09.1993;Duisburg;Bayern Munich;2;2;D;;;;;;;;;;;;;;;;;;;;;
04.09.1993;Freiburg;M'Gladbach;3;3;D;;;;;;;;;;;;;;;;;;;;;
04.09.1993;Karlsruhe;Kaiserslautern;1;1;D;;;;;;;;;;;;;;;;;;;;;
04.09.1993;Leipzig;Wattenscheid;0;0;D;;;;;;;;;;;;;;;;;;;;;
04.09.1993;Leverkusen;FC Koln;2;1;H;;;;;;;;;;;;;;;;;;;;;
04.09.1993;Nurnberg;Werder Bremen;0;1;A;;;;;;;;;;;;;;;;;;;;;
04.09.1993;Schalke 04;Ein Frankfurt;1;3;A;;;;;;;;;;;;;;;;;;;;;
04.09.1993;Stuttgart;Dortmund;2;2;D;;;;;;;;;;;;;;;;;;;;;
08.09.1993;Dortmund;Leipzig;0;1;A;;;;;;;;;;;;;;;;;;;;;
08.09.1993;Ein Frankfurt;Freiburg;3;0;H;;;;;;;;;;;;;;;;;;;;;
08.09.1993;FC Koln;Dresden;0;1;A;;;;;;;;;;;;;;;;;;;;;
08.09.1993;Hamburg;Stuttgart;3;2;H;;;;;;;;;;;;;;;;;;;;;
08.09.1993;Kaiserslautern;Schalke 04;0;0;D;;;;;;;;;;;;;;;;;;;;;
08.09.1993;M'Gladbach;Leverkusen;2;2;D;;;;;;;;;;;;;;;;;;;;;
08.09.1993;Nurnberg;Karlsruhe;1;1;D;;;;;;;;;;;;;;;;;;;;;
08.09.1993;Wattenscheid;Duisburg;0;2;A;;;;;;;;;;;;;;;;;;;;;
08.09.1993;Werder Bremen;Bayern Munich;1;0;H;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Bayern Munich;Wattenscheid;3;3;D;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Dresden;M'Gladbach;2;1;H;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Duisburg;Dortmund;2;2;D;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Freiburg;Kaiserslautern;2;3;A;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Karlsruhe;Werder Bremen;0;3;A;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Leipzig;Hamburg;1;4;A;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Leverkusen;Ein Frankfurt;2;2;D;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Schalke 04;Nurnberg;1;2;A;;;;;;;;;;;;;;;;;;;;;
18.09.1993;Stuttgart;FC Koln;1;1;D;;;;;;;;;;;;;;;;;;;;;
25.09.1993;Dortmund;Bayern Munich;1;1;D;;;;;;;;;;;;;;;;;;;;;
25.09.1993;Ein Frankfurt;Dresden;3;2;H;;;;;;;;;;;;;;;;;;;;;
25.09.1993;FC Koln;Leipzig;3;1;H;;;;;;;;;;;;;;;;;;;;;
25.09.1993;Hamburg;Duisburg;0;1;A;;;;;;;;;;;;;;;;;;;;;
25.09.1993;Kaiserslautern;Leverkusen;3;2;H;;;;;;;;;;;;;;;;;;;;;
25.09.1993;Karlsruhe;Schalke 04;0;0;D;;;;;;;;;;;;;;;;;;;;;
25.09.1993;M'Gladbach;Stuttgart;0;2;A;;;;;;;;;;;;;;;;;;;;;
