Platzierung,Verein,Kader,Durchschnittsalter,Gesamtmarktwert,Durchschnittsmarktwert,Umsatz,Jahr
1,FC Bayern München,28,27,779,27.82,,2018
4,Borussia Dortmund,28,25.8,404.95,14.46,,2018
6,RasenBallsport Leipzig,24,24.5,351.55,14.65,,2018
5,Bayer 04 Leverkusen,23,25.4,308.4,13.41,,2018
2,FC Schalke 04,25,25.9,241.2,9.65,,2018
9,Borussia Mönchengladbach,27,25.7,195.1,7.23,,2018
3,TSG 1899 Hoffenheim,28,24.9,157.8,5.64,,2018
16,VfL Wolfsburg,29,24.7,142.85,4.93,,2018
10,Hertha BSC,27,25.3,114.63,4.25,,2018
18,1.FC Köln,32,25.2,114.38,3.57,,2018
8,Eintracht Frankfurt,33,25.7,114.15,3.46,,2018
7,VfB Stuttgart,25,25.5,102.9,4.12,,2018
11,Werder Bremen,29,26,86.6,2.99,,2018
15,SC Freiburg,33,26.2,85.9,2.6,,2018
12,FC Augsburg,24,27,81.8,3.41,,2018
13,Hannover 96,28,26.4,82.08,2.93,,2018
14,1.FSV Mainz 05,25,26,78.85,3.15,,2018
17,Hamburger SV,33,25,71.7,2.17,,2018
1,FC Bayern München,33,25.1,595.4,18.04,640.5,2017
3,Borussia Dortmund,31,24.2,321.05,10.36,405.7,2017
12,Bayer 04 Leverkusen,39,22.8,244.58,6.27,203.8,2017
10,FC Schalke 04,39,23.7,238.75,6.12,256.1,2017
16,VfL Wolfsburg,43,23.5,225.35,5.24,190,2017
9,Borussia Mönchengladbach,33,23.4,155.8,4.72,196.9,2017
14,Hamburger SV,38,23.6,94.98,2.5,122.1,2017
15,1.FSV Mainz 05,39,23.3,85.7,2.2,110.1,2017
5,1.FC Köln,30,24.4,77.4,2.58,129,2017
4,TSG 1899 Hoffenheim,33,23.5,76.55,2.32,111,2017
6,Hertha BSC,33,24,75.98,2.3,112.3,2017
8,SV Werder Bremen,41,24.5,75.08,1.83,123.5,2017
2,RasenBallsport Leipzig,33,22.6,69.18,2.1,205,2017
13,FC Augsburg,37,25.3,69,1.86,94.8,2017
11,Eintracht Frankfurt,35,23.1,66.1,1.89,109.2,2017
7,SC Freiburg,36,24,40.25,1.12,63,2017
17,FC Ingolstadt 04,32,23.8,36.68,1.15,68.9,2017
18,SV Darmstadt 98,39,25.7,32.83,0.842,47.8,2017
1,FC Bayern München,34,24.9,608.5,17.9,626.8,2016
2,Borussia Dortmund,30,23.9,311.6,10.39,376.3,2016
8,VfL Wolfsburg,35,24.5,265.43,7.58,240,2016
5,FC Schalke 04,32,23.9,209.35,6.54,264.5,2016
3,Bayer 04 Leverkusen,33,23.2,200.75,6.08,236.1,2016
4,Borussia Mönchengladbach,29,24.4,139.55,4.81,160.6,2016
15,TSG 1899 Hoffenheim,31,23.8,111.4,3.59,128,2016
16,Eintracht Frankfurt,35,23.9,87.5,2.5,104,2016
17,Stuttgart,34,23.8,82.6,2.43,125.5,2016
10,Hamburger SV,35,24.8,74.08,2.12,123,2016
